cluster_id,source,scrap_id,name
0,2,205,100% whey protein
0,4,1179,100% whey protein
0,2,198,100% whey protein
0,4,1178,100% whey
1,3,1166,protein coffee
2,2,195,whey protein wpc80 sin sabor
2,4,1214,whey protein sin sabor wpc80
3,4,1177,100% whey isolate
4,3,1159,whey protein quemador phedracut usn
5,4,1208,protein shake sabores
6,4,1207,protein coffee proteina cafeina
7,3,1175,elite whey creatina shaker fire
