cluster_id,source,scrap_id,name
0,4,1184,elite 100% whey
0,2,204,elite 100% whey protein
1,1,30,iso 100 hydrolized dm
1,1,33,iso 100 hydrolized dm
2,4,1187,iso 100
2,3,1140,iso 100
2,4,1185,iso 100
2,4,1186,iso 100
3,3,1164,twentys your goal
4,3,1165,whey gold pvl
5,1,12,iso 100 isolate protein
6,3,1155,elite whey phedracut
