cluster_id,source,scrap_id,name
0,1,56,nutri whey protein
0,1,57,nutri whey protein
1,1,25,whey 100% pure whey protein
1,1,54,whey 100% pure whey protein
2,3,1169,protein crisp bar
3,3,1170,dark bar
4,3,1151,impact whey phedracut
5,3,1145,isolate kiffer
6,1,64,my whey protein rtd im
7,3,1142,iso hd 90 cfm amix
8,1,58,protein whey bar vo2 im
9,1,55,my whey protein pouch im
