cluster_id,source,scrap_id,name
0,1,2,prostar whey whey protein
0,1,6,prostar whey whey protein
0,1,13,prostar whey whey protein
0,3,1148,prostar whey
1,2,191,prostar
1,2,196,prostar
2,1,28,whey gold whey protein
2,1,36,whey gold whey protein
3,1,32,iso cool isolate protein
3,1,38,iso cool isolate protein
4,1,14,prostar 100% raw whey protein
5,3,1143,prostar whey creatina
5,3,1176,prostar whey creatina
