cluster_id,source,scrap_id,name
0,1,10,bsn syntha 6 whey protein
0,1,24,bsn syntha 6 whey protein
1,3,1138,100% whey protein isolate gold standard on
2,4,1198,simply simply whey protein
3,4,1192,simply isolate protein simply
4,4,1180,simply 100% whey protein simply
5,3,1141,impact whey isolate
6,3,1156,protein bite your goal
7,3,1163,protein shake qnt
8,3,1167,your protein whey
9,3,1168,your protein bar
