cluster_id,source,scrap_id,name
0,3,1147,nitro tech
0,4,1201,nitro tech
0,4,1205,nitro tech
0,4,1206,nitro tech
1,1,5,nitro tech 100% whey gold
1,1,19,nitro tech 100% whey gold
1,4,1203,nitro tech 100% whey gold
1,4,1202,nitro tech 100% whey gold
2,1,7,nitro tech whey protein
2,1,15,nitro tech whey protein
3,3,1157,platinium 8hour protein
4,4,1204,nitro tech 100% whey gold edición limitada
5,1,46,grassfed 100% whey protein mtech
6,2,199,nitrotech
7,2,202,nitrotech whey gold
