cluster_id,source,scrap_id,name
0,3,1144,prostar whey creatina shaker fire
0,3,1174,prostar whey creatina shaker fire
1,3,1171,whey protein 100% quemador phedracut usn
2,3,1139,gold standard creatina shaker fire
2,3,1173,gold standard creatina shaker fire
3,1,34,isofit vainilla cream
4,1,67,whey protein 100% whey
5,4,1190,isofit
6,1,20,isofit isolate protein
6,1,22,isofit isolate protein
6,1,27,isofit isolate protein
