cluster_id,source,scrap_id,name
0,3,1158,whey protein inner armour phedracut
1,3,1154,whey hd bpi phedracut
2,1,9,quest quest protein cookie snack proteico
3,1,59,sin sabor
4,3,1153,whey performance kiffer phedracut
